PurePremium,Frequency,Severity,cont0,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10
0,0,7.84E+47,6.417142703,4.570752082,7.78418414,0.453310418,2.510088705,7.632979563,0.585308291,0.081683856,6.859223028,0.140582345,5.916530639
6.48E+30,1,6.48E+30,1.08951517,0.094569323,5.091360437,2.238257574,1.654798202,0.749920052,0.508813922,1.060717335,4.775877025,0.181389938,1.334189237
0,0,2.54E+33,5.156145331,2.096821345,3.164502566,2.968245852,3.687839772,6.735081169,0.979056092,0.873381428,8.3263884,0.705910756,5.401184189
0,0,6.38E+48,2.706859826,3.143708343,0.887348193,0.897513638,0.247118358,9.27892155,0.804118377,1.557157596,7.943389098,1.392711593,5.089336837
2.28E+44,9,2.54E+43,0.345892769,1.302689683,5.470512796,0.091599852,3.076261679,3.915459099,0.984183964,1.116385025,0.788211327,0.285297208,4.125035757
0,0,7.52E+39,2.521429061,1.266066059,1.149357941,0.401225886,1.954092972,0.902124815,0.298249202,0.828715904,0.312858765,0.311721375,1.901138397
0,0,8.50E+60,6.63885181,5.430010849,5.594834249,0.403711342,2.726167674,8.031561704,0.470557378,0.096368516,2.349163638,1.170632638,3.627766828
0,0,1.52E+41,0.51988245,3.342617199,0.019556078,3.636416002,2.844519506,6.569819932,0.51531391,1.153644892,3.623413957,0.052728327,1.81372649
0,0,1.35E+51,6.091997657,3.538045532,3.423744301,3.004060477,2.545844028,6.497259602,0.015481192,0.561253416,0.311049463,0.291157265,2.835424178
0,0,2.03E+38,5.109627889,4.239136285,0.29657534,3.504883726,0.828000574,1.788150148,0.1855664,0.494888124,0.010937883,0.140929075,0.899030972
0,0,1.64E+44,6.886288337,3.307214703,3.249641197,3.310386657,2.359253251,6.890798123,0.538910673,1.704265005,2.396351088,0.915993855,3.465001638
0,0,1.50E+48,1.67553289,1.295893186,7.922293263,2.776530485,1.225552997,3.745336347,0.4153227,0.471422888,5.394777092,0.83931074,3.403778046
0,0,5.68E+40,4.43183756,4.878397851,5.121150356,1.198647166,1.901872902,5.975436472,0.277544243,0.90478453,9.588355613,0.033791853,4.33333536
0,0,7.76E+42,0.568744748,0.02047219,2.718034089,2.403545222,3.193853102,3.642437974,0.730813155,0.947051795,0.498532721,1.966071552,1.264049172
0,0,8.65E+37,0.43146402,1.542178172,6.681325372,0.026506776,1.612181041,7.961809675,0.209496296,0.406250086,1.479200061,1.135082401,0.881465736
2.60E+41,2,1.30E+41,2.848726581,2.064568733,5.687699555,2.477762228,1.213281266,5.451675138,0.144506463,1.105950311,3.705672595,0.710734523,5.322441755
0,0,2.91E+46,0.854709701,3.339920611,7.935272032,2.591182051,3.100384732,3.555457408,0.441836789,0.587825811,5.540001586,1.040554606,5.039656795
0,0,3.64E+49,3.985281272,3.09626246,6.530593228,0.746490413,2.508033519,2.705350728,0.539997431,1.129438821,8.519461888,0.917762515,0.931597011
0,0,5.16E+34,0.887204705,4.773274176,6.599452664,1.394215532,0.711476246,3.531962713,0.249361946,1.608768764,9.289384092,1.781212056,1.150894717
0,0,7.86E+45,6.6680003,2.886348648,1.105692131,1.131009725,0.921755197,5.150386106,0.297549021,1.042691275,0.591649646,0.364086286,1.781340211
0,0,5.98E+45,1.080488227,3.094941717,6.107412518,3.54580404,2.40081824,4.927261282,0.164655165,0.165333914,7.407814026,1.33431125,6.534912086
0,0,1.29E+42,6.135751946,5.840045057,7.696084021,2.688122891,1.841932898,0.51669129,0.883711003,0.596392126,3.252126058,1.908797254,2.650831814
0,0,3.54E+43,5.268388637,0.680240193,6.519614717,3.916517278,0.768556269,5.942514619,0.514555414,1.724597183,1.900039686,1.233559565,3.965586871
0,0,1.04E+44,2.947847715,4.208579569,3.743167117,2.071495637,3.825022776,0.383233212,0.531608653,0.721871921,4.535822673,0.365001419,0.515340546
0,0,4.87E+37,0.690977676,4.042794052,2.648507469,0.734948478,1.932847639,1.601716797,0.655360494,1.770277349,9.676748155,1.107659846,2.432871673
0,0,7.27E+42,6.228400975,0.942559039,6.280508576,3.953265386,3.423568752,8.02290206,0.049608691,1.849743284,7.219763129,0.764135343,2.406867852
0,0,8.65E+47,1.191917604,4.83806807,1.402683918,3.922879779,2.895358385,1.410750674,0.905946583,1.58980244,8.049286409,0.292256401,1.686374809
0,0,2.40E+50,2.678412184,5.42870606,2.744967746,2.49511627,2.158719947,3.55171899,0.364607643,0.935811383,0.305191823,0.500497005,1.416029601
0,0,1.19E+44,1.106896695,3.947024757,5.295398959,2.817799012,3.653760859,9.074071806,0.470589649,0.505974614,9.348024855,0.231292483,0.534354651
0,0,5.42E+37,1.8873112,5.632793857,6.985340473,2.049420815,0.304896277,6.180959112,0.132590511,1.149426587,2.490229797,0.107144372,4.216025055
2.73E+40,6,4.55E+39,6.814675871,0.405534095,4.880094794,1.3645475,2.867144806,0.520950482,0.837592513,0.391738819,0.616261962,0.196079659,2.952372263
0,0,1.59E+46,3.522540499,2.167191169,5.096735558,3.187160474,2.639993503,9.040138698,0.085636378,0.413547443,3.556957677,0.489895981,1.118695783
0,0,1.87E+52,4.775868839,0.505871302,1.712798839,3.476179766,3.427329264,2.76587929,0.286719952,1.590545063,2.604455642,1.946733735,6.307610462
1.00E+33,1,1.00E+33,2.593033891,5.889027512,0.860969931,0.016839027,1.196946849,9.260281265,0.592655906,0.695028668,6.661611909,0.327662365,0.447881711
0,0,1.44E+41,2.542096009,3.995634938,2.632537072,1.48547008,0.147898878,2.805357465,0.95812161,0.562843862,2.272287176,1.566860487,3.233877649
0,0,7.93E+36,3.731983838,0.005206222,0.842356974,1.648096341,1.23886133,5.786561859,0.482365058,0.30160684,6.513760782,0.980275915,5.798688819
0,0,1.12E+50,6.270663861,2.758124325,7.345415549,1.832879827,1.409876357,8.051307035,0.142660118,0.978765794,7.032981176,0.680062476,5.633911975
0,0,8.96E+43,6.604394429,0.194944837,1.065129676,1.103101293,2.378430487,5.028262842,0.593313376,0.484730325,9.885213799,0.142764125,1.098995358
1.18E+46,3,3.94E+45,5.134873196,5.591980449,4.103773765,2.641050057,1.34428803,0.531069818,0.782561174,1.07751359,1.282486726,1.163058294,4.91601563
0,0,1.45E+45,3.005741861,5.048670706,7.260534999,3.67244562,3.279639367,7.256515933,0.053983151,0.626282742,8.290695437,1.691131721,0.770519384
0,0,4.07E+52,0.760357397,0.548735568,0.056081435,2.080339498,2.287954054,5.184714271,0.179491255,0.670007331,8.133645399,1.085309646,3.861797314
0,0,3.74E+39,2.365967805,0.1644865,7.833020597,0.109077576,3.568256514,7.643817978,0.770482346,1.364618457,0.34142174,1.146510728,0.944553
8.22E+50,1,8.22E+50,0.414830414,5.705099695,7.779247498,2.083306745,3.357151819,3.642799997,0.647582693,0.105633493,4.389338613,0.929621502,4.257627953
0,0,1.17E+51,4.158691804,5.521700999,4.687827793,3.176284861,0.944043502,4.021024291,0.792543402,0.08667225,9.424966964,0.007312686,0.099121889
0,0,1.75E+61,2.492704671,0.770638437,1.503467592,2.048743548,1.698287255,9.760385738,0.129628636,1.180223295,1.904183869,0.988497678,6.145444294
0,0,5.38E+44,0.049101983,4.923518818,1.339985973,2.875968612,1.686955333,8.944599951,0.626922494,0.778934598,2.356694821,1.781113326,0.961873149
2.10E+40,2,1.05E+40,5.851493603,0.967343664,5.896018853,0.613732224,3.290680573,7.056341281,0.402873789,1.585793548,5.603721849,0.460884593,3.770580611
0,0,3.11E+48,5.351901498,0.203641824,1.163917983,1.713230305,2.608159859,4.625173732,0.038084555,0.871102918,1.538620584,0.365578773,5.031393559
0,0,1.34E+38,2.593457807,0.385004952,2.150707957,3.416166806,1.19371648,5.3504084,0.017619103,0.180198755,0.938806035,1.436838993,1.182184243
0,0,1.45E+41,0.297766243,5.291435737,4.438598487,1.78888328,0.150895987,5.243039101,0.843340212,1.281696303,5.977630835,1.45178597,4.160465548
0,0,4.03E+45,3.619919247,2.191193287,3.630343341,3.21541543,2.479663704,9.027378771,0.411822099,0.100384511,9.790921843,0.301276578,5.676295816
0,0,3.38E+48,0.081021073,0.107285322,0.120861366,0.06425645,0.554864421,3.422810312,0.426909191,1.667011243,4.537286354,1.168692069,1.379003378
0,0,4.80E+41,5.229272021,2.153615415,5.409684532,0.304815727,2.304350698,7.347013681,0.698911212,1.674913211,2.650284732,0.849529087,2.500918758
3.62E+47,5,7.24E+46,0.672145243,0.684083079,5.82966192,0.857591419,2.436242581,3.131397256,0.468159516,0.953679302,9.973264026,1.944109351,2.247290573
0,0,7.84E+39,0.682982928,3.438737263,4.948166998,0.429810151,1.629008189,1.707423558,0.946105135,0.738526448,5.19977259,1.711324731,5.774658042
7.98E+47,1,7.98E+47,3.540734153,5.457033156,6.140333841,0.703654994,0.825591964,4.476444449,0.453510613,0.69377477,4.292133569,0.032147583,5.943300025
0,0,1.36E+45,6.727758616,4.953471598,6.636832049,2.550031582,3.856092373,5.769155498,0.188076474,0.236418447,3.05671186,1.980938716,5.903552431
0,0,2.01E+40,4.695382181,4.328483008,1.332462589,3.947855574,1.387292799,8.784542111,0.477972332,0.704983249,3.509819227,0.203193991,6.139304181
0,0,6.09E+41,3.149502747,3.739720899,0.680953942,0.561455837,3.173832112,3.096787445,0.385848997,0.037204742,7.631279822,1.848471321,2.657151964
0,0,2.07E+49,5.329323707,2.665795009,7.994155269,2.183439304,1.803192714,9.487291157,0.358887709,0.137813321,8.302254363,1.666860892,2.081540353
0,0,2.06E+46,4.013105924,3.563710634,7.314117518,1.634959723,3.158977991,9.670615424,0.915118077,0.312308427,6.172017369,0.904241634,1.403004188
0,0,1.04E+48,1.546274878,2.67843955,3.015693481,0.325547426,2.491030462,9.227722604,0.841295393,0.865042104,4.021992853,0.104400239,6.498723424
0,0,5.79E+47,5.591353089,3.777846548,0.903091165,1.392027055,1.359256681,2.282087566,0.355269761,1.266217287,9.737835886,1.256808623,3.005034217
0,0,3.48E+50,5.117774595,4.16954909,0.340369505,1.356663187,1.558127275,5.419862086,0.868438466,1.928659168,9.238543186,1.267922586,4.619769082
0,0,1.85E+43,4.284175463,0.13551582,7.533977418,2.821790435,0.540565192,6.467768431,0.78114899,0.02103028,0.405157284,1.762380509,4.611184297
